customer_id,store_id,first_name,last_name,email,address_id,active,create_date,last_update
1,1,Mary,Smith,mary.smith@sakilacustomer.org,5,1,14-02-2006 22.04,15-02-2006 4.57
2,1,Patricia,Johnson,patricia.johnson@sakilacustomer.org,6,1,14-02-2006 22.04,15-02-2006 4.57
3,1,Linda,Williams,linda.williams@sakilacustomer.org,7,1,14-02-2006 22.04,15-02-2006 4.57
4,2,Barbara,Jones,barbara.jones@sakilacustomer.org,8,1,14-02-2006 22.04,15-02-2006 4.57
5,1,Elizabeth,Brown,elizabeth.brown@sakilacustomer.org,9,1,14-02-2006 22.04,15-02-2006 4.57
6,2,Jennifer,Davis,jennifer.davis@sakilacustomer.org,10,1,14-02-2006 22.04,15-02-2006 4.57
7,1,Maria,Miller,maria.miller@sakilacustomer.org,11,1,14-02-2006 22.04,15-02-2006 4.57
8,2,Susan,Wilson,susan.wilson@sakilacustomer.org,12,1,14-02-2006 22.04,15-02-2006 4.57
9,2,Margaret,Moore,margaret.moore@sakilacustomer.org,13,1,14-02-2006 22.04,15-02-2006 4.57
10,1,Dorothy,Taylor,dorothy.taylor@sakilacustomer.org,14,1,14-02-2006 22.04,15-02-2006 4.57
11,2,Lisa,Anderson,lisa.anderson@sakilacustomer.org,15,1,14-02-2006 22.04,15-02-2006 4.57
12,1,Nancy,Thomas,nancy.thomas@sakilacustomer.org,16,1,14-02-2006 22.04,15-02-2006 4.57
13,2,Karen,Jackson,karen.jackson@sakilacustomer.org,17,1,14-02-2006 22.04,15-02-2006 4.57
14,2,Betty,White,betty.white@sakilacustomer.org,18,1,14-02-2006 22.04,15-02-2006 4.57
15,1,Helen,Harris,helen.harris@sakilacustomer.org,19,1,14-02-2006 22.04,15-02-2006 4.57
16,2,Sandra,Martin,sandra.martin@sakilacustomer.org,20,0,14-02-2006 22.04,15-02-2006 4.57
17,1,Donna,Thompson,donna.thompson@sakilacustomer.org,21,1,14-02-2006 22.04,15-02-2006 4.57
18,2,Carol,Garcia,carol.garcia@sakilacustomer.org,22,1,14-02-2006 22.04,15-02-2006 4.57
19,1,Ruth,Martinez,ruth.martinez@sakilacustomer.org,23,1,14-02-2006 22.04,15-02-2006 4.57
20,2,Sharon,Robinson,sharon.robinson@sakilacustomer.org,24,1,14-02-2006 22.04,15-02-2006 4.57
21,1,Michelle,Clark,michelle.clark@sakilacustomer.org,25,1,14-02-2006 22.04,15-02-2006 4.57
22,1,Laura,Rodriguez,laura.rodriguez@sakilacustomer.org,26,1,14-02-2006 22.04,15-02-2006 4.57
23,2,Sarah,Lewis,sarah.lewis@sakilacustomer.org,27,1,14-02-2006 22.04,15-02-2006 4.57
24,2,Kimberly,Lee,kimberly.lee@sakilacustomer.org,28,1,14-02-2006 22.04,15-02-2006 4.57
25,1,Deborah,Walker,deborah.walker@sakilacustomer.org,29,1,14-02-2006 22.04,15-02-2006 4.57
26,2,Jessica,Hall,jessica.hall@sakilacustomer.org,30,1,14-02-2006 22.04,15-02-2006 4.57
27,2,Shirley,Allen,shirley.allen@sakilacustomer.org,31,1,14-02-2006 22.04,15-02-2006 4.57
28,1,Cynthia,Young,cynthia.young@sakilacustomer.org,32,1,14-02-2006 22.04,15-02-2006 4.57
29,2,Angela,Hernandez,angela.hernandez@sakilacustomer.org,33,1,14-02-2006 22.04,15-02-2006 4.57
30,1,Melissa,King,melissa.king@sakilacustomer.org,34,1,14-02-2006 22.04,15-02-2006 4.57
31,2,Brenda,Wright,brenda.wright@sakilacustomer.org,35,1,14-02-2006 22.04,15-02-2006 4.57
32,1,Amy,Lopez,amy.lopez@sakilacustomer.org,36,1,14-02-2006 22.04,15-02-2006 4.57
33,2,Anna,Hill,anna.hill@sakilacustomer.org,37,1,14-02-2006 22.04,15-02-2006 4.57
34,2,Rebecca,Scott,rebecca.scott@sakilacustomer.org,38,1,14-02-2006 22.04,15-02-2006 4.57
35,2,Virginia,Green,virginia.green@sakilacustomer.org,39,1,14-02-2006 22.04,15-02-2006 4.57
36,2,Kathleen,Adams,kathleen.adams@sakilacustomer.org,40,1,14-02-2006 22.04,15-02-2006 4.57
37,1,Pamela,Baker,pamela.baker@sakilacustomer.org,41,1,14-02-2006 22.04,15-02-2006 4.57
38,1,Martha,Gonzalez,martha.gonzalez@sakilacustomer.org,42,1,14-02-2006 22.04,15-02-2006 4.57
39,1,Debra,Nelson,debra.nelson@sakilacustomer.org,43,1,14-02-2006 22.04,15-02-2006 4.57
40,2,Amanda,Carter,amanda.carter@sakilacustomer.org,44,1,14-02-2006 22.04,15-02-2006 4.57
41,1,Stephanie,Mitchell,stephanie.mitchell@sakilacustomer.org,45,1,14-02-2006 22.04,15-02-2006 4.57
42,2,Carolyn,Perez,carolyn.perez@sakilacustomer.org,46,1,14-02-2006 22.04,15-02-2006 4.57
43,2,Christine,Roberts,christine.roberts@sakilacustomer.org,47,1,14-02-2006 22.04,15-02-2006 4.57
